id,created_at,temperatura,vibracao,status,pecas_produzidas,empresa_id,maquina_id,ciclo_id,pressao_envelope,pressao_saco_ar,status_motor_ventilador,status_valvula_entrada_autoclave,status_valvula_descarga_autoclave,status_valvula_entrada_saco_ar,status_valvula_descarga_saco_ar,status_valvula_entrada_envelope,status_valvula_descarga_envelope
593,2025-11-14 17:12:46.52611+00,85.5,1.2,ativo,5,10,1,null,null,null,null,null,null,null,null,null,null
594,2025-11-14 17:19:31.048323+00,85.5,1.2,ativo,5,10,1,null,null,null,null,null,null,null,null,null,null
595,2025-11-14 17:23:23.347554+00,99.9,9.9,teste,99,10,1,null,null,null,null,null,null,null,null,null,null
596,2025-11-14 17:32:47.904407+00,85.5,1.2,ativo,5,10,1,3,null,null,null,null,null,null,null,null,null
597,2025-11-14 17:32:48.361448+00,85.5,1.2,ativo,5,10,1,3,null,null,null,null,null,null,null,null,null
598,2025-11-14 17:33:58.190235+00,75.5,1.2,ativo,5,10,1,3,null,null,null,null,null,null,null,null,null
599,2025-11-14 17:35:33.334246+00,75.5,1.2,ativo,5,10,1,3,null,null,null,null,null,null,null,null,null
600,2025-11-14 17:36:13.477598+00,88.8,2.5,ativo,12,10,1,3,null,null,null,null,null,null,null,null,null
601,2025-11-14 17:36:20.51675+00,88.8,2.5,ativo,12,10,1,3,null,null,null,null,null,null,null,null,null
602,2025-11-14 17:36:43.052983+00,88.8,2.5,ativo,12,10,1,3,null,null,null,null,null,null,null,null,null
603,2025-11-14 17:38:30.938937+00,88.8,2.5,ativo,12,10,1,3,null,null,null,null,null,null,null,null,null
604,2025-11-14 17:38:45.880282+00,88.8,2.5,ativo,12,10,1,3,null,null,null,null,null,null,null,null,null
605,2025-11-14 17:40:11.319138+00,88.8,2.5,ativo,12,10,1,3,null,null,null,null,null,null,null,null,null
606,2025-11-14 17:40:16.652673+00,58.8,2.5,ativo,12,10,1,3,null,null,null,null,null,null,null,null,null
607,2025-11-14 17:42:33.694748+00,58.8,2.5,ativo,12,10,1,3,null,null,null,null,null,null,null,null,null
608,2025-11-14 17:42:39.609482+00,38.8,2.5,ativo,12,10,1,3,null,null,null,null,null,null,null,null,null
609,2025-11-14 17:44:07.104533+00,38.8,2.5,ativo,12,10,1,3,null,null,null,null,null,null,null,null,null
610,2025-11-14 17:49:10.973693+00,38.8,2.5,ativo,12,10,1,3,null,null,null,null,null,null,null,null,null
611,2025-11-14 18:06:02.925609+00,88,3.5,ativo,150,10,1,3,null,null,null,null,null,null,null,null,null
612,2025-11-14 18:06:18.345941+00,98,3.5,ativo,150,10,1,3,null,null,null,null,null,null,null,null,null
613,2025-11-14 18:06:28.909612+00,101,3.5,ativo,150,10,1,3,null,null,null,null,null,null,null,null,null
614,2025-11-14 18:06:54.420716+00,105,9.5,ativo,150,10,1,3,null,null,null,null,null,null,null,null,null
615,2025-11-14 18:07:14.605618+00,105,9.5,ativo,15,10,1,3,null,null,null,null,null,null,null,null,null
616,2025-11-14 18:12:28.460235+00,75.5,2.5,ativo,100,10,1,3,null,null,null,null,null,null,null,null,null
617,2025-11-14 18:12:41.783057+00,95,2.5,ativo,100,10,1,3,null,null,null,null,null,null,null,null,null
618,2025-11-14 18:13:01.068882+00,105,2.5,ativo,100,10,1,3,null,null,null,null,null,null,null,null,null
619,2025-11-14 18:13:22.220488+00,105,9.5,erro,100,10,1,3,null,null,null,null,null,null,null,null,null
620,2025-11-14 18:13:50.553225+00,105,2.5,ativo,100,10,1,3,null,null,null,null,null,null,null,null,null
621,2025-11-14 18:14:06.77754+00,105,2.5,ativo,100,10,1,3,null,null,null,null,null,null,null,null,null
622,2025-11-14 18:14:45.513308+00,105,2.5,ativo,100,10,1,3,null,null,null,null,null,null,null,null,null
623,2025-11-14 18:15:01.116362+00,105,2.5,ativo,100,10,1,3,null,null,null,null,null,null,null,null,null
624,2025-11-14 18:15:20.585759+00,105,9.5,erro,100,10,1,3,null,null,null,null,null,null,null,null,null
625,2025-11-14 18:15:25.397624+00,105,9.5,erro,100,10,1,3,null,null,null,null,null,null,null,null,null
626,2025-11-14 18:15:29.431877+00,105,9.5,erro,100,10,1,3,null,null,null,null,null,null,null,null,null
627,2025-11-14 18:15:51.1689+00,105,9.5,erro,100,10,1,3,null,null,null,null,null,null,null,null,null
628,2025-11-14 18:25:37.318072+00,115,9.5,erro,100,10,1,3,null,null,null,null,null,null,null,null,null
629,2025-11-14 18:25:47.466122+00,115,9.5,Normal,100,10,1,3,null,null,null,null,null,null,null,null,null
630,2025-11-14 18:25:54.897385+00,115,9.5,Operando,100,10,1,3,null,null,null,null,null,null,null,null,null
631,2025-11-14 18:26:01.796904+00,125,9.5,Operando,100,10,1,3,null,null,null,null,null,null,null,null,null
632,2025-11-14 18:26:11.589795+00,125,25,Operando,100,10,1,3,null,null,null,null,null,null,null,null,null
633,2025-11-14 18:26:25.466752+00,145,25,Operando,100,10,1,3,null,null,null,null,null,null,null,null,null
634,2025-11-14 18:26:59.473044+00,145,25,Operando,100,10,1,3,null,null,null,null,null,null,null,null,null
635,2025-11-14 18:27:53.396928+00,145,25,Operando,100,10,1,3,null,null,null,null,null,null,null,null,null
636,2025-11-14 18:28:12.856641+00,145,1,Operando,100,10,1,3,null,null,null,null,null,null,null,null,null
637,2025-11-14 18:28:16.722139+00,145,1,Operando,100,10,1,3,null,null,null,null,null,null,null,null,null
638,2025-11-14 18:28:19.07136+00,145,1,Operando,100,10,1,3,null,null,null,null,null,null,null,null,null
639,2025-11-14 18:28:30.543959+00,145,0.1,Operando,100,10,1,3,null,null,null,null,null,null,null,null,null
640,2025-11-14 18:29:44.935042+00,45,0.1,Operando,100,10,1,3,null,null,null,null,null,null,null,null,null
641,2025-11-14 18:29:50.489391+00,45,10.1,Operando,100,10,1,3,null,null,null,null,null,null,null,null,null
642,2025-11-14 18:40:19.243743+00,8.5,2.5,ativo,100,10,1,3,null,null,null,null,null,null,null,null,null
643,2025-11-14 18:40:24.021354+00,8.5,2.5,ativo,100,10,1,3,null,null,null,null,null,null,null,null,null
644,2025-11-14 18:40:47.536493+00,-2,2.5,ativo,100,10,1,3,null,null,null,null,null,null,null,null,null
645,2025-11-14 18:40:52.224462+00,-2,2.5,ativo,100,10,1,3,null,null,null,null,null,null,null,null,null
646,2025-11-14 18:42:15.138135+00,75,3.5,ativo,150,10,1,3,null,null,null,null,null,null,null,null,null
647,2025-11-14 18:42:24.819061+00,95,2.5,ativo,200,10,1,3,null,null,null,null,null,null,null,null,null
648,2025-11-14 18:42:40.471086+00,105,2.5,ativo,250,10,1,3,null,null,null,null,null,null,null,null,null
649,2025-11-14 18:42:48.276019+00,75,0.4,ativo,300,10,1,3,null,null,null,null,null,null,null,null,null
650,2025-11-14 18:42:56.294774+00,75,0.05,ativo,350,10,1,3,null,null,null,null,null,null,null,null,null
651,2025-11-14 18:43:04.727896+00,75,6.5,ativo,400,10,1,3,null,null,null,null,null,null,null,null,null
652,2025-11-14 18:43:15.751023+00,75,9.5,ativo,450,10,1,3,null,null,null,null,null,null,null,null,null
653,2025-11-14 18:43:27.741448+00,95,0.4,ativo,500,10,1,3,null,null,null,null,null,null,null,null,null
654,2025-11-14 18:43:37.603902+00,105,9.5,ativo,550,10,1,3,null,null,null,null,null,null,null,null,null
655,2025-11-14 18:43:46.075225+00,8,0.4,ativo,600,10,1,3,null,null,null,null,null,null,null,null,null
656,2025-11-14 18:43:57.942233+00,11,2.5,ativo,650,10,1,3,null,null,null,null,null,null,null,null,null
657,2025-11-14 19:06:44.348142+00,95,3.5,ativo,150,10,1,null,null,null,null,null,null,null,null,null,null
658,2025-11-14 19:28:33.797196+00,95,3.5,ativo,150,10,1,null,null,null,null,null,null,null,null,null,null
659,2025-11-14 19:28:45.696001+00,55,3.5,ativo,150,10,1,null,null,null,null,null,null,null,null,null,null
660,2025-11-14 19:28:50.615165+00,15,3.5,ativo,150,10,1,null,null,null,null,null,null,null,null,null,null
661,2025-11-14 19:28:58.627965+00,0.5,3.5,ativo,150,10,1,null,null,null,null,null,null,null,null,null,null
662,2025-11-14 19:29:15.284913+00,-1.5,3.5,ativo,150,10,1,null,null,null,null,null,null,null,null,null,null
663,2025-11-14 19:29:28.262845+00,100.5,3.5,ativo,150,10,1,null,null,null,null,null,null,null,null,null,null
664,2025-11-14 19:29:33.880445+00,150.5,3.5,ativo,150,10,1,null,null,null,null,null,null,null,null,null,null
665,2025-11-14 19:29:36.909307+00,150.5,3.5,ativo,150,10,1,null,null,null,null,null,null,null,null,null,null
666,2025-11-17 14:44:02.198777+00,26.24,1.94,operando,1505,10,1,null,null,null,null,null,null,null,null,null,null
667,2025-11-17 14:44:02.914067+00,27.3,2.05,operando,1507,10,1,null,null,null,null,null,null,null,null,null,null
668,2025-11-17 14:44:03.918669+00,27.84,2.18,operando,1510,10,1,null,null,null,null,null,null,null,null,null,null
669,2025-11-17 14:44:04.92222+00,29.16,2.15,operando,1511,10,1,null,null,null,null,null,null,null,null,null,null
670,2025-11-17 14:44:05.907978+00,29.88,2.16,operando,1514,10,1,null,null,null,null,null,null,null,null,null,null
671,2025-11-17 14:44:06.917613+00,31.05,2.3,operando,1516,10,1,null,null,null,null,null,null,null,null,null,null
672,2025-11-17 14:44:07.912722+00,31.6,2.47,operando,1519,10,1,null,null,null,null,null,null,null,null,null,null
673,2025-11-17 14:44:08.922616+00,32.15,2.53,operando,1522,10,1,null,null,null,null,null,null,null,null,null,null
674,2025-11-17 14:44:09.917949+00,33.43,2.37,operando,1527,10,1,null,null,null,null,null,null,null,null,null,null
675,2025-11-17 14:44:10.926912+00,34.79,2.18,operando,1531,10,1,null,null,null,null,null,null,null,null,null,null
676,2025-11-17 14:44:11.919635+00,35.84,2.35,operando,1532,10,1,null,null,null,null,null,null,null,null,null,null
677,2025-11-17 14:44:12.926606+00,37.02,2.38,operando,1537,10,1,null,null,null,null,null,null,null,null,null,null
678,2025-11-17 14:44:13.937028+00,37.72,2.29,operando,1542,10,1,null,null,null,null,null,null,null,null,null,null
679,2025-11-17 14:44:14.932756+00,38.28,2.47,operando,1546,10,1,null,null,null,null,null,null,null,null,null,null
680,2025-11-17 14:44:15.931166+00,39.23,2.3,operando,1547,10,1,null,null,null,null,null,null,null,null,null,null
681,2025-11-17 14:44:16.937675+00,39.97,2.25,operando,1550,10,1,null,null,null,null,null,null,null,null,null,null
682,2025-11-17 14:44:17.941959+00,40.57,2.34,operando,1551,10,1,null,null,null,null,null,null,null,null,null,null
683,2025-11-17 14:44:18.936644+00,41.28,2.2,operando,1553,10,1,null,null,null,null,null,null,null,null,null,null
684,2025-11-17 14:44:19.934094+00,42.5,2.36,operando,1557,10,1,null,null,null,null,null,null,null,null,null,null
685,2025-11-17 14:44:20.932887+00,43.9,2.39,operando,1558,10,1,null,null,null,null,null,null,null,null,null,null
686,2025-11-17 14:44:21.938474+00,44.45,2.57,operando,1562,10,1,null,null,null,null,null,null,null,null,null,null
687,2025-11-17 14:44:22.95861+00,45.76,2.74,operando,1564,10,1,null,null,null,null,null,null,null,null,null,null
688,2025-11-17 14:44:23.942594+00,46.69,2.58,operando,1568,10,1,null,null,null,null,null,null,null,null,null,null
689,2025-11-17 14:44:24.956149+00,47.53,2.58,operando,1573,10,1,null,null,null,null,null,null,null,null,null,null
690,2025-11-17 14:44:25.943441+00,48.41,2.49,operando,1577,10,1,null,null,null,null,null,null,null,null,null,null
691,2025-11-17 14:44:26.951791+00,49.82,2.57,operando,1579,10,1,null,null,null,null,null,null,null,null,null,null
692,2025-11-17 14:44:27.943938+00,51.09,2.5,operando,1583,10,1,null,null,null,null,null,null,null,null,null,null
693,2025-11-17 14:44:28.952714+00,52.5,2.51,operando,1585,10,1,null,null,null,null,null,null,null,null,null,null
694,2025-11-17 14:44:29.949732+00,53.02,2.59,operando,1589,10,1,null,null,null,null,null,null,null,null,null,null
695,2025-11-17 14:44:30.962896+00,54.48,2.44,operando,1593,10,1,null,null,null,null,null,null,null,null,null,null
696,2025-11-17 14:44:31.973237+00,55.11,2.59,operando,1595,10,1,null,null,null,null,null,null,null,null,null,null
697,2025-11-17 14:44:32.96413+00,56.49,2.71,operando,1598,10,1,null,null,null,null,null,null,null,null,null,null
698,2025-11-17 14:44:33.961844+00,57.15,2.56,operando,1601,10,1,null,null,null,null,null,null,null,null,null,null
699,2025-11-17 14:44:34.960841+00,58.19,2.49,operando,1606,10,1,null,null,null,null,null,null,null,null,null,null
700,2025-11-17 14:44:35.962712+00,59.55,2.54,operando,1610,10,1,null,null,null,null,null,null,null,null,null,null
701,2025-11-17 14:44:36.974356+00,60.76,2.64,operando,1614,10,1,null,null,null,null,null,null,null,null,null,null
702,2025-11-17 14:44:37.97118+00,61.54,2.8,operando,1616,10,1,null,null,null,null,null,null,null,null,null,null
703,2025-11-17 14:44:38.972976+00,63.03,2.91,operando,1621,10,1,null,null,null,null,null,null,null,null,null,null
704,2025-11-17 14:44:39.962834+00,64.5,2.71,operando,1623,10,1,null,null,null,null,null,null,null,null,null,null
705,2025-11-17 14:44:40.987466+00,65.09,2.69,operando,1627,10,1,null,null,null,null,null,null,null,null,null,null
706,2025-11-17 14:44:41.975329+00,66.42,2.72,operando,1631,10,1,null,null,null,null,null,null,null,null,null,null
707,2025-11-17 14:44:42.98899+00,67.45,2.68,operando,1633,10,1,null,null,null,null,null,null,null,null,null,null
708,2025-11-17 14:44:44.132155+00,68.14,2.85,operando,1636,10,1,null,null,null,null,null,null,null,null,null,null
709,2025-11-17 14:44:44.976146+00,69.04,3.03,operando,1639,10,1,null,null,null,null,null,null,null,null,null,null
710,2025-11-17 14:44:45.975394+00,70.15,2.84,operando,1642,10,1,null,null,null,null,null,null,null,null,null,null
711,2025-11-17 14:44:46.983919+00,70.79,2.81,operando,1646,10,1,null,null,null,null,null,null,null,null,null,null
712,2025-11-17 14:44:48.012838+00,71.38,2.94,operando,1649,10,1,null,null,null,null,null,null,null,null,null,null
713,2025-11-17 14:44:49.008842+00,71.91,2.89,operando,1650,10,1,null,null,null,null,null,null,null,null,null,null
714,2025-11-17 14:44:50.003261+00,72.58,3,operando,1655,10,1,null,null,null,null,null,null,null,null,null,null
715,2025-11-17 14:44:51.005801+00,73.22,2.96,operando,1659,10,1,null,null,null,null,null,null,null,null,null,null
716,2025-11-17 14:44:51.999998+00,74.53,3.13,operando,1664,10,1,null,null,null,null,null,null,null,null,null,null
717,2025-11-17 14:44:53.016609+00,75.14,3.2,operando,1668,10,1,null,null,null,null,null,null,null,null,null,null
718,2025-11-17 14:44:54.033393+00,76.62,3.32,operando,1671,10,1,null,null,null,null,null,null,null,null,null,null
719,2025-11-17 14:44:55.043778+00,77.93,3.46,operando,1673,10,1,null,null,null,null,null,null,null,null,null,null
720,2025-11-17 14:44:56.066165+00,79.38,3.41,operando,1676,10,1,null,null,null,null,null,null,null,null,null,null
721,2025-11-17 14:44:57.065491+00,79.93,3.28,operando,1677,10,1,null,null,null,null,null,null,null,null,null,null
722,2025-11-17 14:44:58.082219+00,80.65,3.29,operando,1681,10,1,null,null,null,null,null,null,null,null,null,null
723,2025-11-17 14:44:59.090207+00,81.82,3.2,operando,1682,10,1,null,null,null,null,null,null,null,null,null,null
724,2025-11-17 14:45:00.090783+00,83.01,3.29,operando,1683,10,1,null,null,null,null,null,null,null,null,null,null
725,2025-11-17 14:45:01.100538+00,84.45,3.16,operando,1686,10,1,null,null,null,null,null,null,null,null,null,null
726,2025-11-17 14:45:02.101966+00,85.94,3.27,operando,1691,10,1,null,null,null,null,null,null,null,null,null,null
727,2025-11-17 14:45:03.088208+00,87.33,3.25,operando,1694,10,1,null,null,null,null,null,null,null,null,null,null
728,2025-11-17 14:45:04.096161+00,87.9,3.07,operando,1699,10,1,null,null,null,null,null,null,null,null,null,null
729,2025-11-17 14:45:05.114446+00,88.91,2.92,operando,1704,10,1,null,null,null,null,null,null,null,null,null,null
730,2025-11-17 14:45:06.131504+00,89.99,2.76,operando,1705,10,1,null,null,null,null,null,null,null,null,null,null
731,2025-11-17 14:45:07.148802+00,91.36,2.62,superaquecido,1706,10,1,null,null,null,null,null,null,null,null,null,null
732,2025-11-17 14:45:08.15845+00,92.06,2.47,superaquecido,1707,10,1,null,null,null,null,null,null,null,null,null,null
733,2025-11-17 14:45:09.150127+00,92.73,2.46,superaquecido,1712,10,1,null,null,null,null,null,null,null,null,null,null
734,2025-11-17 14:45:10.205552+00,93.49,2.35,superaquecido,1713,10,1,null,null,null,null,null,null,null,null,null,null
735,2025-11-17 14:45:11.177283+00,94.92,2.49,superaquecido,1717,10,1,null,null,null,null,null,null,null,null,null,null
736,2025-11-17 14:45:12.188848+00,95,2.6,superaquecido,1720,10,1,null,null,null,null,null,null,null,null,null,null
737,2025-11-17 14:45:13.204515+00,94.39,2.64,superaquecido,1721,10,1,null,null,null,null,null,null,null,null,null,null
738,2025-11-17 14:45:14.206696+00,93.66,2.81,superaquecido,1724,10,1,null,null,null,null,null,null,null,null,null,null
739,2025-11-17 14:45:15.21518+00,92.53,2.63,superaquecido,1727,10,1,null,null,null,null,null,null,null,null,null,null
740,2025-11-17 14:45:16.238037+00,91.81,2.69,superaquecido,1732,10,1,null,null,null,null,null,null,null,null,null,null
741,2025-11-17 14:45:17.255528+00,90.7,2.83,superaquecido,1734,10,1,null,null,null,null,null,null,null,null,null,null
742,2025-11-17 14:45:18.238183+00,90.05,2.84,superaquecido,1735,10,1,null,null,null,null,null,null,null,null,null,null
743,2025-11-17 14:45:19.249121+00,88.83,2.81,operando,1738,10,1,null,null,null,null,null,null,null,null,null,null
744,2025-11-17 14:45:20.25495+00,87.65,2.62,operando,1741,10,1,null,null,null,null,null,null,null,null,null,null
745,2025-11-17 14:45:21.262253+00,86.31,2.8,operando,1743,10,1,null,null,null,null,null,null,null,null,null,null
746,2025-11-17 14:45:22.271476+00,85.29,2.82,operando,1747,10,1,null,null,null,null,null,null,null,null,null,null
747,2025-11-17 14:45:23.280919+00,84.43,2.71,operando,1751,10,1,null,null,null,null,null,null,null,null,null,null
748,2025-11-17 14:45:24.526911+00,83.14,2.7,operando,1754,10,1,null,null,null,null,null,null,null,null,null,null
